SBD,MS_HS,Liter,English,Math,Total
1001,150706877,5.5,6.25,4.25,25.75
1002,140173765,7.25,7,8.5,38.5
1003,118027372,6.25,7.75,8.25,36.75
1004,117920407,8.25,7.75,8.25,40.75
1005,132184087,8.5,9.5,7,40.5
1006,117714589,7.25,7,7.25,36
1007,117777636,7.75,10,9,43.5
1008,117768938,6.5,5.75,7.5,33.75
1009,132588719,8.25,8.5,7.5,40
1010,118181090,7.75,7.5,8.5,40
1011,141898189,5.75,3.5,7.5,30
1012,148772349,7,8,8,38
1013,138622128,8.5,10,7.5,42
1014,134509596,8,6.25,8.25,38.75
1015,140117784,7.75,9.25,9,42.75
1016,118180757,7.5,6,7,35
1017,132588721,8.25,9,8.25,42
1018,118205778,8.5,10,9.25,45.5
1019,139283588,7.75,8.25,7,37.75
1020,140498752,6.25,5.5,6.5,31
1021,132184054,7.5,9.5,9,42.5
1022,138554843,8,7.25,8.5,40.25
1023,118180723,5.5,7.75,7.5,33.75
1024,132588388,7.75,7.25,8,38.75
1025,118110891,7.5,8,8.75,40.5
1026,117843050,7.5,8.75,8.5,40.75
1027,2444797671,8.25,9.25,8,41.75
1028,150706886,8.25,9.25,6.75,39.25
1029,118028340,8,9,8.5,42
1030,132184292,6,7,8,35
1031,140173797,7.5,9,7.75,39.5
1032,142907173,7.25,7.25,8,37.75
1033,117815677,7.5,8.25,8.25,39.75
1034,133121861,7.25,9,8.75,41
1035,149081520,7.5,9.25,9,42.25
1036,3634767293,8,6.25,8.75,39.75
1037,140173803,6.75,7.5,6.25,33.5
1038,144524709,8,8.75,7.75,40.25
1039,150594043,7,9,6,35
1040,132588391,7.5,9,8,40
1041,133418888,8,9.25,8.5,42.25
1042,162371976,7.75,9.5,8,41
1043,133418891,7.5,7.5,8.25,39
1044,133418805,7.25,8.75,8.25,39.75
1045,142907272,6.5,5.5,6.25,31
1046,118428573,7.25,6,7,34.5
1047,142430095,7.75,6.75,7,36.25
1048,4239294159,6.75,7.75,6,33.25
1049,140173822,8,8.25,7.5,39.25
1050,118180060,6.25,7.5,8,36
1051,117741153,8.75,8.5,9,44
1052,118179429,7.75,8.25,9,41.75
1053,117851713,6.25,9.5,7,36
1054,118110771,6.75,9,6.75,36
1055,117794178,7.5,7.5,8.5,39.5
1056,131787383,7.5,8,6,35
1057,149106265,8.5,6,4.25,31.5
1058,118180547,6.75,7.75,7,35.25
1059,132588770,7.5,9,9,42
1060,134536142,7.75,8.75,8,40.25
1061,134536180,6.75,9.5,8,39
1062,141362838,7,8.25,6.75,35.75
1063,118491517,7.25,7,7,35.5
1064,118491511,3.5,5,7.5,27
1065,134601267,7.75,8,6.5,36.5
